S1 : 0 -> 99 : FROM START TO END
S43 : 90 -> 92 : FROM S21 TO S41
S44 : 91 -> 96 : FROM S43 TO S8
S45 : 28 -> 64 : FROM S1 TO S9
S46 : 94 -> 98 : FROM S41 TO S1
S47 : 92 -> 96 : FROM S4 TO S39
S48 : 91 -> 98 : FROM S41 TO S1
S49 : 64 -> 81 : FROM S22 TO S34
S50 : 39 -> 92 : FROM S1 TO S11
S51 : 88 -> 93 : FROM S19 TO S47
S52 : 95 -> 97 : FROM S46 TO S8
S53 : 9 -> 44 : FROM S15 TO S50
S54 : 92 -> 97 : FROM S14 TO S46
S55 : 25 -> 68 : FROM S1 TO S37
S56 : 88 -> 90 : FROM S12 TO S50
S57 : 31 -> 72 : FROM S25 TO S8
S58 : 82 -> 98 : FROM S19 TO S1
S59 : 85 -> 93 : FROM S11 TO S58
S60 : 3 -> 86 : FROM S1 TO S11
S61 : 96 -> 98 : FROM S52 TO S1
S62 : 90 -> 94 : FROM S14 TO S54
S63 : 94 -> 96 : FROM S38 TO S28
S64 : 15 -> 22 : FROM S33 TO S1
S65 : 37 -> 53 : FROM S1 TO S45
S66 : 93 -> 96 : FROM S48 TO S46
S67 : 91 -> 93 : FROM S51 TO S48
S68 : 90 -> 95 : FROM S51 TO S35
S69 : 86 -> 88 : FROM S9 TO S2
S70 : 29 -> 92 : FROM S1 TO S58
S71 : 7 -> 35 : FROM S30 TO S25
S72 : 96 -> 98 : FROM S52 TO S1
S73 : 74 -> 80 : FROM S18 TO S35
S74 : 91 -> 95 : FROM S28 TO S54
S75 : 34 -> 75 : FROM S1 TO S49
S76 : 76 -> 93 : FROM S37 TO S47
S77 : 23 -> 75 : FROM S1 TO S49
S78 : 76 -> 97 : FROM S73 TO S28
S79 : 78 -> 96 : FROM S24 TO S48
S80 : 25 -> 47 : FROM S1 TO S5
S81 : 54 -> 73 : FROM S35 TO S49
S82 : 91 -> 95 : FROM S14 TO S12
S83 : 67 -> 88 : FROM S81 TO S36
S84 : 70 -> 87 : FROM S6 TO S16
S85 : 26 -> 31 : FROM S1 TO S77
S86 : 6 -> 70 : FROM S30 TO S57
S87 : 85 -> 93 : FROM S26 TO S39
S88 : 60 -> 66 : FROM S3 TO S81
S89 : 54 -> 76 : FROM S33 TO S37
S90 : 22 -> 74 : FROM S1 TO S75
S91 : 51 -> 72 : FROM S86 TO S9
S92 : 94 -> 96 : FROM S66 TO S78
S93 : 77 -> 95 : FROM S84 TO S47
S94 : 62 -> 83 : FROM S88 TO S60
S95 : 12 -> 38 : FROM S1 TO S23
S96 : 51 -> 75 : FROM S65 TO S89
S97 : 20 -> 89 : FROM S95 TO S8
S98 : 91 -> 96 : FROM S14 TO S8
S99 : 96 -> 98 : FROM S48 TO S1
S100 : 35 -> 95 : FROM S1 TO S79
S101 : 87 -> 92 : FROM S58 TO S67
S102 : 50 -> 56 : FROM S36 TO S13
S103 : 44 -> 51 : FROM S25 TO S86
S104 : 59 -> 81 : FROM S96 TO S78
S105 : 33 -> 74 : FROM S1 TO S6
S106 : 70 -> 89 : FROM S94 TO S100
S107 : 92 -> 96 : FROM S14 TO S1
S108 : 77 -> 98 : FROM S73 TO S1
S109 : 87 -> 97 : FROM S69 TO S61
S110 : 16 -> 60 : FROM S1 TO S17
S111 : 93 -> 98 : FROM S29 TO S1
S112 : 51 -> 77 : FROM S33 TO S32
S113 : 92 -> 96 : FROM S68 TO S8
S114 : 92 -> 94 : FROM S14 TO S38
S115 : 38 -> 90 : FROM S1 TO S35
S116 : 16 -> 78 : FROM S95 TO S50
S117 : 90 -> 97 : FROM S12 TO S99
S118 : 93 -> 97 : FROM S113 TO S108
S119 : 28 -> 77 : FROM S33 TO S70
S120 : 13 -> 27 : FROM S1 TO S97
S121 : 96 -> 98 : FROM S111 TO S1
S122 : 75 -> 96 : FROM S73 TO S108
S123 : 65 -> 70 : FROM S91 TO S17
S124 : 27 -> 68 : FROM S85 TO S75
S125 : 2 -> 47 : FROM S1 TO S110
S126 : 29 -> 66 : FROM S85 TO S119
S127 : 93 -> 98 : FROM S29 TO S1
S128 : 89 -> 96 : FROM S11 TO S28
S129 : 85 -> 95 : FROM S42 TO S54
S130 : 39 -> 58 : FROM S1 TO S105
S131 : 38 -> 87 : FROM S75 TO S76
S132 : 47 -> 67 : FROM S50 TO S17
S133 : 90 -> 95 : FROM S21 TO S79
S134 : 64 -> 98 : FROM S86 TO S1
S135 : 36 -> 92 : FROM S1 TO S109
S136 : 37 -> 48 : FROM S16 TO S9
S137 : 93 -> 95 : FROM S100 TO S63
S138 : 75 -> 85 : FROM S83 TO S40
S139 : 92 -> 95 : FROM S48 TO S127
S140 : 33 -> 85 : FROM S1 TO S115
S141 : 46 -> 63 : FROM S116 TO S132
S142 : 95 -> 97 : FROM S39 TO S61
S143 : 85 -> 88 : FROM S42 TO S36
S144 : 29 -> 91 : FROM S80 TO S28
S145 : 25 -> 57 : FROM S1 TO S17
S146 : 94 -> 96 : FROM S12 TO S127
S147 : 96 -> 98 : FROM S38 TO S1
S148 : 67 -> 89 : FROM S86 TO S51
S149 : 87 -> 95 : FROM S69 TO S146
S150 : 35 -> 46 : FROM S1 TO S25

Possible Moves : 1, 2, 3, 4, 8
